Timestamp,"Type of Mobile Plan
Jenis Pelan Mudah Alih","Are you satisfied with your current type of mobile plan? (Postpaid/Prepaid)
Adakah anda berpuas hati dengan jenis pelan mudah alih anda? (Pascabayar/Prabayar)","Age
Umur
e.g: 22","Gender
Jantina","Occupation
Pekerjaan","Income (RM)
Pendapatan (RM)
e.g: 5000","Education Level
Tahap Pendidikan","Marital Status
Status Perkahwinan","Number of dependents (person)
Bilangan tanggungan (orang)
e.g: 5","Location
Tempat tinggal","Average Monthly Data Usage (GB)
Purata Penggunaan Data Bulanan (GB)
e.g: 20","Do you often play games (e.g. Mobile Legends, Genshin Impact) ?
Adakah anda sering bermain permainan (e.g. Mobile Legends) ?","Do you often stream? (e.g. Youtube, Netflix)
Adakah anda sering melayari penstriman?  (e.g. Youtube, Netflix)","Do you often use social media? (e.g. TikTok, Instagram)
Adakah anda sering menggunakan media sosial?  (e.g. TikTok, Instagram)","Average Daily Time Spent On Mobile Device (Hours)
Purata Masa Harian Menggunakan Telefon Bimbit (Jam)
e.g: 2","Hotspot Usage
Penggunaan Hotspot","Current Mobile Service Provider
Penyedia Perkhidmatan Mudah Alih","Number of years with current telco
Jumlah tahun dengan telco sekarang
e.g: 3","Monthly expenses on mobile plan (RM)
Perbelanjaan bulanan untuk pelan mudah alih (RM)
e.g: 50","Number of SIM cards owned
Bilangan kad SIM yang dimiliki
e.g: 2","Number of device owned (Laptops, phones, tablets)
Jumlah peranti yang dimiliki (Komputer riba, telefon bimbit, tablet)
e.g: 3","Number of lines in household
Jumlah talian mudah alih dalam isi rumah
e.g: 4","Do you have a smartphone under contract?
Adakah anda mempunyai telefon pintar di bawah kontrak?","Do you have Wi-Fi at home?
Adakah anda mempunyai Wi-Fi di rumah?",Column 25
5/19/2025 0:59:59,Postpaid,Yes / Ya,22,Female / Perempuan,Employed / Bekerja,1700,High School / Sekolah Menengah / SPM / SVM / O-Level,Single / Bujang,0,Urban / Bandar,200,No / Tidak,Yes / Ya,Yes / Ya,24,Sometimes / Kadang Kala,Maxis,1,79,1,1,3,No / Tidak,No / Tidak,
5/19/2025 1:49:40,Postpaid,Yes / Ya,24,Male / Lelaki,Student / Pelajar,1200,Master's Degree / Ijazah Sarjana,Single / Bujang,1,Sub-urban / Pinggir bandar,50,Yes / Ya,Yes / Ya,Yes / Ya,10,Often / Selalu,CelcomDigi,6,120,1,3,1,Yes / Ya,No / Tidak,
5/19/2025 3:46:57,Postpaid,Yes / Ya,20,Female / Perempuan,Student / Pelajar,0,Diploma / Foundation (Asasi) / STPM / SKM / Matriculation (Matrikulasi) / A-Level,Single / Bujang,0,Urban / Bandar,25,No / Tidak,No / Tidak,Yes / Ya,8,Often / Selalu,Maxis,3,48,1,2,1,Yes / Ya,No / Tidak,
5/19/2025 6:31:15,Postpaid,No / Tidak,,,,,,,,,,,,,,,,,,,,,,,
5/19/2025 7:07:20,Prepaid,Yes / Ya,23,Female / Perempuan,Student / Pelajar,3500,Bachelor's Degree / Ijazah Sarjana Muda,Single / Bujang,0,Sub-urban / Pinggir bandar,100,Yes / Ya,Yes / Ya,Yes / Ya,10,Often / Selalu,U Mobile,9,43,1,2,4,No / Tidak,Yes / Ya,
5/19/2025 7:29:54,Postpaid,Yes / Ya,23,Female / Perempuan,Student / Pelajar,-,Bachelor's Degree / Ijazah Sarjana Muda,Single / Bujang,-,Sub-urban / Pinggir bandar,50,No / Tidak,Yes / Ya,Yes / Ya,9,Sometimes / Kadang Kala,redONE,1,43,1,2,2,No / Tidak,Yes / Ya,
5/19/2025 7:36:27,Postpaid,Yes / Ya,24,Male / Lelaki,Student / Pelajar,0,Bachelor's Degree / Ijazah Sarjana Muda,Single / Bujang,0,Urban / Bandar,60,No / Tidak,Yes / Ya,Yes / Ya,3,Rarely / Jarang,CelcomDigi,3,60,1,3,2,Yes / Ya,Yes / Ya,
5/19/2025 7:39:31,Postpaid,Yes / Ya,23,Female / Perempuan,Student / Pelajar,0,Bachelor's Degree / Ijazah Sarjana Muda,Single / Bujang,0,Urban / Bandar,60,Yes / Ya,Yes / Ya,Yes / Ya,5,Often / Selalu,CelcomDigi,8,42,1,3,3,No / Tidak,Yes / Ya,
5/19/2025 7:49:59,Prepaid,Yes / Ya,25,Female / Perempuan,Student / Pelajar,-,Bachelor's Degree / Ijazah Sarjana Muda,Single / Bujang,-,Urban / Bandar,100,No / Tidak,Yes / Ya,Yes / Ya,6,Rarely / Jarang,Tune Talk,5,35,1,3,3,No / Tidak,Yes / Ya,
5/19/2025 8:07:05,Postpaid,Yes / Ya,23,Male / Lelaki,Student / Pelajar,1000,Bachelor's Degree / Ijazah Sarjana Muda,Single / Bujang,0,Urban / Bandar,100,Yes / Ya,Yes / Ya,Yes / Ya,7,Sometimes / Kadang Kala,CelcomDigi,10,60,1,2,5,No / Tidak,No / Tidak,
5/19/2025 8:25:20,Postpaid,Yes / Ya,24,Male / Lelaki,Student / Pelajar,5000,Bachelor's Degree / Ijazah Sarjana Muda,Single / Bujang,0,Urban / Bandar,40,Yes / Ya,Yes / Ya,Yes / Ya,5,Sometimes / Kadang Kala,CelcomDigi,9,40,1,2,1,No / Tidak,Yes / Ya,
5/19/2025 8:50:12,Postpaid,No / Tidak,,,,,,,,,,,,,,,,,,,,,,,
5/19/2025 9:12:30,Postpaid,No / Tidak,,,,,,,,,,,,,,,,,,,,,,,
5/19/2025 9:33:45,Prepaid,Yes / Ya,18,Male / Lelaki,Unemployed / Tidak bekerja,0,High School / Sekolah Menengah / SPM / SVM / O-Level,Single / Bujang,0,Urban / Bandar,60,Yes / Ya,Yes / Ya,Yes / Ya,8,Sometimes / Kadang Kala,CelcomDigi,7,150,1,3,5,No / Tidak,Yes / Ya,
5/19/2025 9:43:35,Prepaid,Yes / Ya,30,Female / Perempuan,Employed / Bekerja,1000,Bachelor's Degree / Ijazah Sarjana Muda,Married / Berkahwin,1,Urban / Bandar,40,No / Tidak,Yes / Ya,Yes / Ya,2,Rarely / Jarang,CelcomDigi,3,49,13,3,4,Yes / Ya,Yes / Ya,
5/19/2025 10:16:00,Prepaid,Yes / Ya,27,Female / Perempuan,Employed / Bekerja,3700,Master's Degree / Ijazah Sarjana,Married / Berkahwin,1,Urban / Bandar,20,No / Tidak,Yes / Ya,Yes / Ya,4,Rarely / Jarang,CelcomDigi,15,25,1,1,2,No / Tidak,Yes / Ya,
5/19/2025 10:33:23,Prepaid,Yes / Ya,23,Female / Perempuan,Student / Pelajar,4500,Diploma / Foundation (Asasi) / STPM / SKM / Matriculation (Matrikulasi) / A-Level,Single / Bujang,4,Sub-urban / Pinggir bandar,200,No / Tidak,Yes / Ya,Yes / Ya,17,Often / Selalu,Maxis,10,50,2,3,2,No / Tidak,No / Tidak,
5/19/2025 10:54:20,Postpaid,Yes / Ya,26,Male / Lelaki,Employed / Bekerja,4000,Bachelor's Degree / Ijazah Sarjana Muda,Married / Berkahwin,1,Sub-urban / Pinggir bandar,30,No / Tidak,Yes / Ya,Yes / Ya,3,Rarely / Jarang,Maxis,3,300,1,1,2,Yes / Ya,Yes / Ya,
5/19/2025 14:07:01,Postpaid,Yes / Ya,25,Female / Perempuan,Student / Pelajar,-,Bachelor's Degree / Ijazah Sarjana Muda,Single / Bujang,-,Urban / Bandar,300,No / Tidak,No / Tidak,Yes / Ya,6,Sometimes / Kadang Kala,CelcomDigi,5,100,2,3,5,No / Tidak,Yes / Ya,
5/19/2025 14:16:35,Postpaid,No / Tidak,,,,,,,,,,,,,,,,,,,,,,,
5/19/2025 14:18:11,Postpaid,Yes / Ya,26,Male / Lelaki,Employed / Bekerja,2400,Bachelor's Degree / Ijazah Sarjana Muda,Single / Bujang,0,Urban / Bandar,80,No / Tidak,Yes / Ya,Yes / Ya,5,Sometimes / Kadang Kala,CelcomDigi,4,90,1,4,1,No / Tidak,Yes / Ya,
5/19/2025 14:29:26,Prepaid,Yes / Ya,25,Male / Lelaki,Employed / Bekerja,3500,Bachelor's Degree / Ijazah Sarjana Muda,Single / Bujang,0,Sub-urban / Pinggir bandar,40,Yes / Ya,Yes / Ya,Yes / Ya,8,Rarely / Jarang,Maxis,5,60,0,3,7,No / Tidak,Yes / Ya,
5/19/2025 16:19:28,Postpaid,Yes / Ya,23,Male / Lelaki,Student / Pelajar,0,Bachelor's Degree / Ijazah Sarjana Muda,Single / Bujang,0,Urban / Bandar,100,Yes / Ya,Yes / Ya,Yes / Ya,5,Sometimes / Kadang Kala,Maxis,4,90,1,4,5,No / Tidak,Yes / Ya,
5/19/2025 16:53:27,Prepaid,Yes / Ya,24,Male / Lelaki,Student / Pelajar,1800,Bachelor's Degree / Ijazah Sarjana Muda,Single / Bujang,1,Urban / Bandar,3,Yes / Ya,Yes / Ya,Yes / Ya,8,Rarely / Jarang,Maxis,10,88,1,6,2,Yes / Ya,Yes / Ya,
5/19/2025 17:09:59,Prepaid,Yes / Ya,18,Female / Perempuan,Unemployed / Tidak bekerja,0,High School / Sekolah Menengah / SPM / SVM / O-Level,Single / Bujang,0,Sub-urban / Pinggir bandar,20,Yes / Ya,Yes / Ya,Yes / Ya,9,Sometimes / Kadang Kala,CelcomDigi,3,30,1,2,4,No / Tidak,Yes / Ya,
5/19/2025 17:37:43,Prepaid,Yes / Ya,26,Male / Lelaki,Student / Pelajar,0,Master's Degree / Ijazah Sarjana,Single / Bujang,0,Urban / Bandar,20,Yes / Ya,Yes / Ya,Yes / Ya,7,Rarely / Jarang,Maxis,10,30,1,3,6,No / Tidak,Yes / Ya,
5/19/2025 22:37:59,Postpaid,Yes / Ya,49,Female / Perempuan,Employed / Bekerja,9000,Bachelor's Degree / Ijazah Sarjana Muda,Married / Berkahwin,5,Urban / Bandar,20,No / Tidak,No / Tidak,Yes / Ya,3,Rarely / Jarang,CelcomDigi,4,60,1,35,5,No / Tidak,Yes / Ya,
5/19/2025 22:39:23,Postpaid,Yes / Ya,53,Female / Perempuan,Employed / Bekerja,8000,Bachelor's Degree / Ijazah Sarjana Muda,Married / Berkahwin,5,Urban / Bandar,30,No / Tidak,Yes / Ya,Yes / Ya,3,Rarely / Jarang,CelcomDigi,9,350,13,37,7,Yes / Ya,Yes / Ya,
5/20/2025 0:39:33,Prepaid,Yes / Ya,23,Female / Perempuan,Student / Pelajar,1000,Bachelor's Degree / Ijazah Sarjana Muda,Single / Bujang,0,Rural / Luar bandar,100,No / Tidak,Yes / Ya,Yes / Ya,5,Rarely / Jarang,CelcomDigi,4,45,1,4,8,No / Tidak,Yes / Ya,
5/20/2025 2:13:32,Postpaid,Yes / Ya,23,Female / Perempuan,Student / Pelajar,1300,Bachelor's Degree / Ijazah Sarjana Muda,Single / Bujang,-,Urban / Bandar,10,No / Tidak,Yes / Ya,Yes / Ya,5,Often / Selalu,CelcomDigi,10,60,2,3,1,Yes / Ya,Yes / Ya,
5/20/2025 4:45:38,Postpaid,Yes / Ya,49,Female / Perempuan,Employed / Bekerja,8000,Bachelor's Degree / Ijazah Sarjana Muda,Married / Berkahwin,5,Urban / Bandar,20,No / Tidak,No / Tidak,Yes / Ya,2,Sometimes / Kadang Kala,CelcomDigi,10,90,1,2,7,No / Tidak,No / Tidak,
5/20/2025 7:32:10,Prepaid,No / Tidak,,,,,,,,,,,,,,,,,,,,,,,
5/20/2025 8:08:06,Prepaid,Yes / Ya,53,Female / Perempuan,Employed / Bekerja,10000,Bachelor's Degree / Ijazah Sarjana Muda,Married / Berkahwin,2,Urban / Bandar,20,No / Tidak,Yes / Ya,Yes / Ya,5,Often / Selalu,Maxis,2,50,1,2,3,No / Tidak,No / Tidak,
5/20/2025 11:04:45,Postpaid,Yes / Ya,41,Female / Perempuan,Employed / Bekerja,5000,Bachelor's Degree / Ijazah Sarjana Muda,Married / Berkahwin,3,Sub-urban / Pinggir bandar,25,No / Tidak,No / Tidak,Yes / Ya,5,Sometimes / Kadang Kala,redONE,15,118,1,3,4,No / Tidak,Yes / Ya,
5/20/2025 11:07:11,Prepaid,Yes / Ya,38,Female / Perempuan,Employed / Bekerja,3500,Bachelor's Degree / Ijazah Sarjana Muda,Married / Berkahwin,4,Sub-urban / Pinggir bandar,80,No / Tidak,Yes / Ya,Yes / Ya,3,Rarely / Jarang,CelcomDigi,4,30,1,2,3,No / Tidak,Yes / Ya,
5/20/2025 11:09:05,Postpaid,No / Tidak,,,,,,,,,,,,,,,,,,,,,,,
5/20/2025 11:10:35,Postpaid,Yes / Ya,60,Female / Perempuan,Retired / Telah bersara,6490,Bachelor's Degree / Ijazah Sarjana Muda,Married / Berkahwin,4,Urban / Bandar,50,No / Tidak,Yes / Ya,Yes / Ya,3,Sometimes / Kadang Kala,Maxis,20,150,1,3,4,Yes / Ya,Yes / Ya,
5/20/2025 11:11:02,Postpaid,Yes / Ya,59,Female / Perempuan,Employed / Bekerja,8000,Bachelor's Degree / Ijazah Sarjana Muda,Single / Bujang,2,Sub-urban / Pinggir bandar,10,No / Tidak,Yes / Ya,Yes / Ya,4,Rarely / Jarang,CelcomDigi,10,200,2,2,1,Yes / Ya,Yes / Ya,
5/20/2025 11:16:24,Postpaid,Yes / Ya,39,Female / Perempuan,Employed / Bekerja,6000,Bachelor's Degree / Ijazah Sarjana Muda,Married / Berkahwin,3,Rural / Luar bandar,35,No / Tidak,Yes / Ya,Yes / Ya,1,Rarely / Jarang,CelcomDigi,8,68,1,2,2,Yes / Ya,Yes / Ya,
5/20/2025 11:17:40,Postpaid,Yes / Ya,51,Female / Perempuan,Employed / Bekerja,8000,Bachelor's Degree / Ijazah Sarjana Muda,Married / Berkahwin,3,Urban / Bandar,15,No / Tidak,No / Tidak,Yes / Ya,4,Sometimes / Kadang Kala,CelcomDigi,10,30,1,2,5,No / Tidak,Yes / Ya,
5/20/2025 11:23:25,Prepaid,Yes / Ya,59,Female / Perempuan,Retired / Telah bersara,5000,Bachelor's Degree / Ijazah Sarjana Muda,Married / Berkahwin,0,Sub-urban / Pinggir bandar,50,No / Tidak,No / Tidak,Yes / Ya,5,Sometimes / Kadang Kala,CelcomDigi,7,50,1,2,2,No / Tidak,Yes / Ya,
5/20/2025 11:40:57,Prepaid,Yes / Ya,59,Female / Perempuan,Employed / Bekerja,1500,Bachelor's Degree / Ijazah Sarjana Muda,Married / Berkahwin,2,Sub-urban / Pinggir bandar,20,No / Tidak,Yes / Ya,Yes / Ya,12,Sometimes / Kadang Kala,Maxis,10,40,1,1,3,No / Tidak,Yes / Ya,
5/20/2025 11:42:33,Prepaid,Yes / Ya,47,Female / Perempuan,Employed / Bekerja,9000,Bachelor's Degree / Ijazah Sarjana Muda,Married / Berkahwin,5,Urban / Bandar,20,No / Tidak,No / Tidak,Yes / Ya,8,Sometimes / Kadang Kala,U Mobile,4,38,2,2,5,No / Tidak,Yes / Ya,
5/20/2025 11:43:26,Postpaid,Yes / Ya,58,Female / Perempuan,Retired / Telah bersara,6000,Bachelor's Degree / Ijazah Sarjana Muda,Married / Berkahwin,7,Urban / Bandar,30,No / Tidak,Yes / Ya,Yes / Ya,3,Sometimes / Kadang Kala,Unifi Mobile,5,70,2,2,5,No / Tidak,Yes / Ya,
5/20/2025 11:48:38,Postpaid,No / Tidak,,,,,,,,,,,,,,,,,,,,,,,
5/20/2025 11:52:26,Postpaid,Yes / Ya,60,Male / Lelaki,Retired / Telah bersara,0,Diploma / Foundation (Asasi) / STPM / SKM / Matriculation (Matrikulasi) / A-Level,Married / Berkahwin,5,Sub-urban / Pinggir bandar,30,No / Tidak,Yes / Ya,No / Tidak,3,Rarely / Jarang,U Mobile,10,100,4,4,4,Yes / Ya,No / Tidak,
5/20/2025 11:56:59,Postpaid,Yes / Ya,56,Female / Perempuan,Employed / Bekerja,10000,Bachelor's Degree / Ijazah Sarjana Muda,Married / Berkahwin,3,Urban / Bandar,15,No / Tidak,No / Tidak,No / Tidak,3,Rarely / Jarang,CelcomDigi,6,30,1,2,5,No / Tidak,Yes / Ya,
5/20/2025 11:57:44,Postpaid,Yes / Ya,48,Female / Perempuan,Employed / Bekerja,6700,Bachelor's Degree / Ijazah Sarjana Muda,Married / Berkahwin,4,Urban / Bandar,20,No / Tidak,No / Tidak,Yes / Ya,1,Sometimes / Kadang Kala,redONE,5,45,1,3,2,No / Tidak,Yes / Ya,
5/20/2025 12:03:23,Postpaid,Yes / Ya,40,Female / Perempuan,Employed / Bekerja,6000,Master's Degree / Ijazah Sarjana,Married / Berkahwin,4,Sub-urban / Pinggir bandar,2,No / Tidak,No / Tidak,No / Tidak,4,Sometimes / Kadang Kala,U Mobile,3,38,1,2,2,No / Tidak,Yes / Ya,
5/20/2025 12:03:50,Postpaid,Yes / Ya,29,Male / Lelaki,Employed / Bekerja,2000,Bachelor's Degree / Ijazah Sarjana Muda,Single / Bujang,3,Urban / Bandar,40,Yes / Ya,Yes / Ya,Yes / Ya,5,Sometimes / Kadang Kala,Maxis,3,280,2,4,5,No / Tidak,Yes / Ya,
5/20/2025 12:09:58,Postpaid,Yes / Ya,58,Female / Perempuan,Retired / Telah bersara,5000,Bachelor's Degree / Ijazah Sarjana Muda,Married / Berkahwin,2,Sub-urban / Pinggir bandar,20,No / Tidak,No / Tidak,No / Tidak,4,Rarely / Jarang,OneOnexox,10,60,1,1,5,No / Tidak,Yes / Ya,
